amfi_code,var_95_pct,cvar_95_pct,daily_std_pct,min_daily_ret_pct,max_daily_ret_pct,n_obs,tail_obs,scheme_name,fund_house,category,plan,risk_category
148569,-1.5259,-1.9852,0.9427,-3.1266,3.9176,1607,81,Mirae Asset Tax Saver Fund - Regular - Growth,Mirae Asset MF,Equity,Regular,High
102887,-1.3743,-1.7964,0.8398,-3.1271,3.2386,1607,81,UTI Flexi Cap Fund - Regular - Growth,UTI Mutual Fund,Equity,Regular,Moderately High
120843,-1.3327,-1.7114,0.8475,-2.9748,3.3554,1607,81,Kotak Flexicap Fund - Regular - Growth,Kotak Mahindra MF,Equity,Regular,Moderately High
148568,-1.3313,-1.7384,0.8226,-2.6127,3.1415,1607,81,Mirae Asset Emerging Bluechip Fund - Regular - Growth,Mirae Asset MF,Equity,Regular,Moderately High
120506,-1.3005,-1.7792,0.8117,-3.323,4.3812,1607,81,ICICI Pru Value Discovery Fund - Regular - Growth,ICICI Prudential MF,Equity,Regular,Moderately High
149322,-1.2955,-1.6995,0.7648,-3.6676,2.9362,1607,81,DSP Top 100 Equity Fund - Regular - Growth,DSP Mutual Fund,Equity,Regular,Moderate
100016,-1.2884,-1.6768,0.7749,-2.4744,3.2145,1607,81,HDFC Top 100 Fund - Regular Plan - Growth,HDFC Mutual Fund,Equity,Regular,Moderate
119092,-1.2693,-1.6166,0.7431,-2.3383,3.3626,1607,81,Axis Bluechip Fund - Regular - Growth,Axis Mutual Fund,Equity,Regular,Moderate
148567,-1.2607,-1.6343,0.7575,-2.9451,3.0025,1607,81,Mirae Asset Large Cap Fund - Regular - Growth,Mirae Asset MF,Equity,Regular,Moderate
119093,-1.2588,-1.6332,0.7449,-2.9496,3.0558,1607,81,Axis Bluechip Fund - Direct - Growth,Axis Mutual Fund,Equity,Direct,Moderate
120504,-1.2531,-1.6226,0.766,-2.6317,3.1234,1607,81,ICICI Pru Bluechip Fund - Direct - Growth,ICICI Prudential MF,Equity,Direct,Moderate
125497,-1.2502,-1.6964,0.7819,-3.1505,2.8407,1607,81,HDFC Top 100 Fund - Direct Plan - Growth,HDFC Mutual Fund,Equity,Direct,Moderate
118632,-1.2333,-1.6328,0.7545,-2.849,2.8218,1607,81,Nippon India Large Cap Fund - Regular - Growth,Nippon India MF,Equity,Regular,Moderate
101206,-1.2173,-1.6075,0.7768,-3.8121,3.3956,1607,81,ABSL Frontline Equity Fund - Regular - Growth,Aditya Birla Sun Life MF,Equity,Regular,Moderate
120503,-1.2133,-1.61,0.7402,-2.59,2.7064,1607,81,ICICI Pru Bluechip Fund - Regular - Growth,ICICI Prudential MF,Equity,Regular,Moderate
119552,-1.2129,-1.6078,0.7433,-2.5775,2.9091,1607,81,SBI Bluechip Fund - Direct Plan - Growth,SBI Mutual Fund,Equity,Direct,Moderate
118633,-1.2066,-1.5542,0.746,-2.5402,3.5913,1607,81,Nippon India Large Cap Fund - Direct - Growth,Nippon India MF,Equity,Direct,Moderate
119551,-1.1827,-1.523,0.733,-2.768,3.5096,1607,81,SBI Bluechip Fund - Regular Plan - Growth,SBI Mutual Fund,Equity,Regular,Moderate
120841,-1.1725,-1.5249,0.7175,-2.3779,2.858,1607,81,Kotak Bluechip Fund - Regular - Growth,Kotak Mahindra MF,Equity,Regular,Moderate
102885,-1.1047,-1.4381,0.6844,-2.1104,2.5565,1607,81,UTI Nifty 50 Index Fund - Regular - Growth,UTI Mutual Fund,Equity,Regular,Moderate
118635,-1.1033,-1.4938,0.692,-2.5466,3.0547,1607,81,Nippon India ETF Nifty 50 BeES,Nippon India MF,Equity,Direct,Moderate
119120,-0.3429,-0.4618,0.2115,-0.769,0.8163,1607,81,SBI Magnum Gilt Fund - Regular Plan - Growth,SBI Mutual Fund,Debt,Regular,Low
118636,-0.3344,-0.4541,0.2125,-0.8883,0.7708,1607,81,Nippon India Gilt Securities Fund - Regular - Growth,Nippon India MF,Debt,Regular,Low
100025,-0.3338,-0.4581,0.2081,-0.8188,0.8837,1607,81,HDFC Short Term Debt Fund - Regular - Growth,HDFC Mutual Fund,Debt,Regular,Low
101208,-0.0218,-0.0371,0.0291,-0.0766,0.1247,1607,81,ABSL Liquid Fund - Regular - Growth,Aditya Birla Sun Life MF,Debt,Regular,Low
120844,-0.0204,-0.0362,0.0297,-0.0704,0.1254,1607,81,Kotak Liquid Fund - Regular - Growth,Kotak Mahindra MF,Debt,Regular,Low
120507,-0.0196,-0.0325,0.0289,-0.0666,0.1197,1607,81,ICICI Pru Liquid Fund - Regular - Growth,ICICI Prudential MF,Debt,Regular,Low
